,f1_score,f1_std,exact_match,token_overlap,avg_length,num_samples,improvement_vs_basic
question_mark,0.17611057845957176,0.328575906944862,0.10067114093959731,0.18624161073825504,1.9798657718120805,149.0,-0.3%
polite_request,0.12898689677213165,0.2953387199749238,0.08053691275167785,0.1325503355704698,2.046979865771812,149.0,-26.9%
short_instruction,0.13750399488654522,0.29447761717842064,0.06711409395973154,0.13870246085011184,2.161073825503356,149.0,-22.1%
precise,0.1537392138063279,0.3126476185058093,0.087248322147651,0.1638702460850112,1.825503355704698,149.0,-12.9%
what_is,0.13597528496857356,0.29842518370345417,0.08053691275167785,0.13758389261744966,2.436241610738255,149.0,-23.0%
direct,0.14747523170341964,0.30036420306886324,0.0738255033557047,0.15436241610738252,2.0604026845637584,149.0,-16.5%
basic,0.17655800575263664,0.3367326127472748,0.10738255033557047,0.18512304250559283,1.9530201342281879,149.0,+0.0%
